7.01,4.8446,1.69,-12.3773,276.86,199.8714,7.06,5.0891,15105,-4485,14920,-6034.70588235294
7.4,4.3748,-0.32,-11.294,292.82,181.0967,7.46,4.6086,18745,-4071.9,18745,-4410.14705882353
7.62,4.8704,2,-11.5821,298.75,200.5391,7.61,5.1079,18745,-3684.5,14265,-5376.47058823529
7.02,4.4399,-0.27,-13.3276,278.42,180.9187,7.1,4.6085,14265,-3949,12465,-6443.23529411765
6.26,4.0975,0.19,-10.7037,255.14,172.293,6.49,4.3452,17350,-5014.6,17350,-4356.76470588235
6.73,4.5776,0.88,-12.5066,275.92,189.8631,7.02,4.7481,17350,-3922.75,14530,-5421.76470588235
6.41,4.194,1.3,-10.5985,253.4,166.5115,6.44,4.1518,14530,-5227,11565,-4721.47058823529
5.96,4.5326,4.21,-9.73,235.66,178.0538,6.01,4.49,11565,-5499.1,4135,-5531.76470588235
4.99,3.9106,-2.86,-11.0218,207.32,154.953,5.28,3.9506,4135,-6852.55,-3515,-4752.64705882353
5.35,3.8172,-0.65,-9.5658,213.06,154.9699,5.44,3.9503,16480,-7184.55,16480,-3703.52941176471
6.83,4.0768,2.91,-9.8486,264.31,173.5248,6.75,4.4295,16480,-3877.25,4095,-6033.38235294118
5.88,4.1107,3.31,-7.0588,237.3,159.4127,6.06,4.0057,4095,-7665.15,-3400,-4531.76470588235
6.05,4.5456,1.16,-9.326,240.9,183.4311,6.15,4.6411,15040,-4964.7,15040,-4383.38235294118
6.74,4.1468,-0.21,-11.3907,260.73,170.4422,6.68,4.3562,15105,-4209.35,15105,-4544.26470588235
7,4.4425,-2.15,-11.3933,272.83,177.1739,6.97,4.52820000000001,15105,-3711.2,8950,-4041.76470588235
4.38,3.1965,1.09,-3.7381,195.25,136.5688,5.03,3.5332,3015,-4219.6,3015,-2611.76470588235
4.61,3.1666,-2.14,-13.3873,219.96,154.3271,5.61,3.934,11600,-5396,11600,-7169.41176470588
5.16,3.2424,-2.07,-13.8693,234.02,158.6254,5.96,3.9782,13085,-4416.75,13085,-6849.11764705882
5.52,3.7964,1.65,-11.949,254.85,186.7604,6.49,4.7122,17840,-3678.6,17840,-6427.5
7.1,4.1143,0.02,-14.6779,301.75,190.1107,7.69,4.8488,17840,-4194.35,13750,-7502.94117647059
6.78,4.5154,1.78,-11.8632,278.11,189.2978,7.06,4.8185,13750,-4247.6,9575,-6121.17647058824
6.08,4.7431,4.84,-9.4027,249.08,194.2741,6.31,4.9429,12660,-4573.4,12660,-7331.17647058824
6.72,4.3493,2.15,-10.0204,265.82,168.6808,6.79,4.3016,12660,-5366.75,-1875,-6066.02941176471
5.09,4.0144,1.57,-8.02680000000001,201.21,160.7715,5.11,4.0887,14080,-5147.15,14080,-3236.32352941176
6.09,4.165,6.02,-9.9233,281.57,202.997,7.14,5.1664,17110,-4560.05,17110,-7184.26470588235
7.11,3.8039,-0.07,-12.481,297.09,186.4984,7.55,4.7527,17110,-2528.45,15120,-6901.47058823529
6.15,4.2619,-0.09,-11.21,251.09,181.8842,6.39,4.6257,23125,-4456.65,23125,-3803.23529411765
7.66,4.1355,-11.42,-18.0762,306.81,200.4061,7.8,5.1058,23125,-2079,19225,-1559.85294117647
6.16,4.0309,-6.98,-16.8632,240.06,171.2683,6.12,4.3702,19225,-4217.3,17115,-4120.73529411765
6.75,4.3503,-4.17,-14.8487,264.31,179.8493,6.77,4.599,17115,-4047.6,16290,-4849.85294117647
6.25,3.8287,-2.55,-13.757,245.67,158.7693,6.29,4.054,16290,-5311.6,15350,-4865.58823529412
5.46,3.5584,-9.23,-16.6976,218.16,156.1764,5.54,3.9821,15350,-4340.15,12770,-2153.52941176471
5.76,4.0341,-4.28,-13.264,237.85,167.0045,6.03,4.2721,12770,-4956.75,395,-3477.94117647059
5.12,3.8723,-1.18,-9.8999,203.88,147.8886,5.25,3.7736,1340,-7736.05,1340,-3483.67647058824
5.05,3.6635,-2.08,-11.0935,199.29,146.5944,5.08,3.7473,7180,-6531,7180,-3691.17647058824
5.49,3.9923,-4.17,-13.1048,217.39,155.7915,5.55,3.9791,7190,-6821.45,7190,-3835.88235294118
5.51,3.921,-4.3,-10.8151,220.48,157.755,5.67,4.043,7190,-5741.65,5820,-2535
4.42,3.3148,-4.23,-11.1552,172.48,131.9936,4.42,3.3746,16135,-7013.3,16135,-1988.38235294118
6.33,4.2804,-1.1,-13.0244,249.08,167.9349,6.4,4.2958,16135,-4972.1,11525,-5391.32352941176
5.5,3.6634,-0.34,-10.813,210.55,145.1633,5.38,3.6379,11525,-7164.45,11175,-4697.64705882353
5.55,3.5403,-4.7,-12.9254,215.34,143.2271,5.53,3.5934,11175,-5982.4,3050,-2915.88235294118
5.99,4.0312,-1.71,-12.2284,233.21,158.9677,5.96,4.0627,3050,-6735.3,-3675,-5203.08823529412
5.04,3.4966,-7.04,-13.1584,202.91,147.6426,5.2,3.6968,13880,-5113.05,13880,-1476.02941176471
4.92,3.2692,-2.36,-11.7825,206.09,149.2408,5.25,3.6734,13880,-5475.2,10275,-3313.52941176471
5.08,3.5563,-6.5,-13.4094,208.56,147.17,5.32,3.6881,10275,-5479.4,-1995,-3841.91176470588
3.34,2.4505,1.09,-5.0955,125.02,105.8045,3.18,2.6965,-4330,-8989.5,-4330,-6904.11764705882
4.09,3.0691,-2.23,-9.60940000000001,170.33,135.2368,4.34,3.4446,7825,-6839.75,7825,-3235.73529411765
5.89,4.1283,-0.59,-10.9265,233.75,166.135,5.96,4.1928,7825,-5563.65,7230,-4276.02941176471
5.03,3.6956,-1.98,-10.852,203.88,147.6726,5.19,3.6328,7230,-5809.8,550,-3721.91176470588
4.9,3.5746,3.55,-7.86570000000001,190.57,141.0127,4.86,3.5456,10620,-6559.5,10620,-4711.91176470588
5.02,3.5014,-0.57,-11.7906,190.11,137.6377,4.84,3.5048,10620,-6364.5,-1175,-5278.08823529412
4.76,3.3989,-2.88,-11.7395,190.8,139.7319,4.86,3.5587,12655,-6429.3,12655,-2720.73529411765
3.75,0.4467,3.17,-9.7596,315.74,188.4006,0,0,23045,-5836.7,18270,-5574.55882352941
3.43,0.2947,2.83,-9.1236,275.3,177.5821,0,0,25275,-5066.5,25275,-3576.91176470588
3.24,0.1584,4.45,-8.3724,339.77,222.185,0,0,25275,-4626.4,20820,-4392.20588235294
3.07,0.279,3.34,-8.8578,293.14,187.4966,0,0,20820,-4951.25,19190,-5152.20588235294
3.37,0.2636,3.13,-10.4829,285.7,188.1921,0,0,19190,-4732.85,18750,-6137.5
